Team,Season,Wins,Losses,Percentage,ORtg,DRtg
ATL,2015-16,48,34,0.585,105.1,101.4
ATL,2014-15,60,22,0.732,108.9,103.1
ATL,2013-14,38,44,0.463,105.9,106.4
ATL,2012-13,44,38,0.537,104.8,104.4
ATL,2011-12,40,26,0.606,104.9,101.2
ATL,2010-11,44,38,0.537,106.1,107
ATL,2009-10,53,29,0.646,111.9,106.7
ATL,2008-09,47,35,0.573,109.3,107.6
ATL,2007-08,37,45,0.451,106.9,108.9
ATL,2006-07,30,52,0.366,103,108.3
ATL,2005-06,26,56,0.317,106.4,111.6
ATL,2004-05,13,69,0.159,100.6,111.1
BOS,2015-16,48,34,0.585,106.8,103.6
BOS,2014-15,40,42,0.488,104.7,104.5
BOS,2013-14,25,57,0.305,102.9,107.7
BOS,2012-13,41,40,0.506,103.1,103.3
BOS,2011-12,39,27,0.591,101,98.2
BOS,2010-11,56,26,0.683,106.2,100.3
BOS,2009-10,50,32,0.61,107.7,103.8
BOS,2008-09,62,20,0.756,110.5,102.3
BOS,2007-08,66,16,0.805,110.2,98.9
BOS,2006-07,24,58,0.293,103.2,106.9
BOS,2005-06,33,49,0.402,105.2,106.9
BOS,2004-05,45,37,0.549,107.5,106.6
NJN,2015-16,21,61,0.256,103.2,110.9
NJN,2014-15,38,44,0.463,104.4,107.4
NJN,2013-14,44,38,0.537,106.7,107.7
NJN,2012-13,49,33,0.598,108.2,106.2
NJN,2011-12,22,44,0.333,102.9,109.6
NJN,2010-11,24,58,0.293,103.1,109.9
NJN,2009-10,12,70,0.146,100.6,110.5
NJN,2008-09,34,48,0.415,108.3,111
NJN,2007-08,34,48,0.415,104,109.4
NJN,2006-07,41,41,0.5,105.7,106.6
NJN,2005-06,49,33,0.598,103.9,102.4
NJN,2004-05,42,40,0.512,101.4,103.1
CHA,2015-16,48,34,0.585,107.1,104.3
CHA,2014-15,33,49,0.402,100.1,103.5
CHA,2013-14,43,39,0.524,103.6,103.8
CHA,2012-13,21,61,0.256,101.5,111.5
CHA,2011-12,7,59,0.106,95.2,110.4
CHA,2010-11,34,48,0.415,103.4,107.8
CHA,2009-10,44,38,0.537,104.4,102.8
CHA,2008-09,35,47,0.427,104.7,106.1
CHA,2007-08,32,50,0.39,104.6,109.4
CHA,2006-07,33,49,0.402,103.6,107.6
CHA,2005-06,26,56,0.317,102.5,106.7
CHA,2004-05,18,64,0.22,101.1,107.5
CHI,2015-16,42,40,0.512,105,106.5
CHI,2014-15,50,32,0.61,107.5,104.3
CHI,2013-14,48,34,0.585,102.5,100.5
CHI,2012-13,45,37,0.549,103.5,103.2
CHI,2011-12,50,16,0.758,107.4,98.3
CHI,2010-11,62,20,0.756,108.3,100.3
CHI,2009-10,41,41,0.5,103.5,105.3
CHI,2008-09,41,41,0.5,108.4,108.7
CHI,2007-08,33,49,0.402,103.9,107.2
CHI,2006-07,49,33,0.598,104.9,99.6
CHI,2005-06,41,41,0.5,104,103.4
CHI,2004-05,47,35,0.573,101.4,100.3
CLE,2015-16,57,25,0.695,110.9,104.5
CLE,2014-15,53,29,0.646,111.1,106.3
CLE,2013-14,33,49,0.402,104.2,107.7
CLE,2012-13,24,58,0.293,104.3,109.4
CLE,2011-12,21,45,0.318,101.1,108.9
CLE,2010-11,19,63,0.232,102.2,111.8
CLE,2009-10,61,21,0.744,111.2,104.1
CLE,2008-09,66,16,0.805,112.4,102.4
CLE,2007-08,45,37,0.549,106,106.4
CLE,2006-07,50,32,0.61,105.5,101.3
CLE,2005-06,50,32,0.61,107.8,105.4
CLE,2004-05,42,40,0.512,106.6,105.7
DAL,2015-16,42,40,0.512,106.7,107
DAL,2014-15,50,32,0.61,109.5,106.4
DAL,2013-14,49,33,0.598,111.2,108.7
DAL,2012-13,41,41,0.5,105.9,106.5
DAL,2011-12,36,30,0.545,103.3,102.3
DAL,2010-11,57,25,0.695,109.7,105
DAL,2009-10,55,27,0.671,109.2,106.3
DAL,2008-09,50,32,0.61,110.5,108.4
DAL,2007-08,51,31,0.622,111.1,106.1
DAL,2006-07,67,15,0.817,111.3,103.2
DAL,2005-06,60,22,0.732,111.8,105
DAL,2004-05,58,24,0.707,110.3,104.1
DEN,2015-16,33,49,0.402,105.6,108.9
DEN,2014-15,30,52,0.366,104.5,108.2
DEN,2013-14,36,46,0.439,106,108.2
DEN,2012-13,57,25,0.695,110.4,105.1
DEN,2011-12,38,28,0.576,109.2,106.2
DEN,2010-11,50,32,0.61,112.3,107.3
DEN,2009-10,53,29,0.646,111.8,107.5
DEN,2008-09,54,28,0.659,110.4,106.8
DEN,2007-08,50,32,0.61,110,106.3
DEN,2006-07,45,37,0.549,107.6,105.9
DEN,2005-06,44,38,0.537,105.5,105.2
DEN,2004-05,49,33,0.598,106,103.9
DET,2015-16,44,38,0.537,106.1,105.5
DET,2014-15,32,50,0.39,105.3,106.4
DET,2013-14,29,53,0.354,105.9,109.7
DET,2012-13,29,53,0.354,103.8,108.1
DET,2011-12,25,41,0.379,101,106.3
DET,2010-11,30,52,0.366,107.7,111.7
DET,2009-10,27,55,0.329,105.6,111.4
DET,2008-09,39,43,0.476,107.4,108
DET,2007-08,59,23,0.72,111.4,102.9
DET,2006-07,53,29,0.646,108.9,104.2
DET,2005-06,64,18,0.78,110.8,103.1
DET,2004-05,54,28,0.659,105.6,101.2
GSW,2015-16,73,9,0.89,114.5,103.8
GSW,2014-15,67,15,0.817,111.6,101.4
GSW,2013-14,51,31,0.622,107.5,102.6
GSW,2012-13,47,35,0.573,106.4,105.5
GSW,2011-12,23,43,0.348,105.4,109.1
GSW,2010-11,36,46,0.439,108.2,110.7
GSW,2009-10,26,56,0.317,108.1,111.7
GSW,2008-09,29,53,0.354,109.5,113.3
GSW,2007-08,48,34,0.585,111.8,109.5
GSW,2006-07,42,40,0.512,107,107.4
GSW,2005-06,34,48,0.415,104.8,106.2
GSW,2004-05,34,48,0.415,104.7,106.9
HOU,2015-16,41,41,0.5,108.3,108.1
HOU,2014-15,56,26,0.683,107,103.4
HOU,2013-14,54,28,0.659,111,106.3
HOU,2012-13,45,37,0.549,109.7,106.1
HOU,2011-12,34,32,0.515,105.5,105.2
HOU,2010-11,43,39,0.524,111.3,109
HOU,2009-10,42,40,0.512,107.6,108
HOU,2008-09,53,29,0.646,108.4,104
HOU,2007-08,55,27,0.671,106.8,101.6
HOU,2006-07,52,30,0.634,106,100.7
HOU,2005-06,34,48,0.415,101.6,103.3
HOU,2004-05,51,31,0.622,106.2,101.7
IND,2015-16,45,37,0.549,104.6,102.9
IND,2014-15,38,44,0.463,103.5,103.2
IND,2013-14,56,26,0.683,104.1,99.3
IND,2012-13,49,32,0.605,104.3,99.8
IND,2011-12,42,24,0.636,106.7,103.1
IND,2010-11,37,45,0.451,104.8,106
IND,2009-10,32,50,0.39,103.7,106.8
IND,2008-09,36,46,0.439,108.1,109.2
IND,2007-08,36,46,0.439,106,107.5
IND,2006-07,35,47,0.427,102.9,105.5
IND,2005-06,41,41,0.5,104.5,102.4
IND,2004-05,44,38,0.537,105.5,104.6
LAC,2015-16,53,29,0.646,108.3,103.8
LAC,2014-15,56,26,0.683,112.4,105.5
LAC,2013-14,57,25,0.695,112.1,104.8
LAC,2012-13,56,26,0.683,110.6,103.6
LAC,2011-12,40,26,0.606,108.5,105.7
LAC,2010-11,32,50,0.39,105.3,108.7
LAC,2009-10,29,53,0.354,103.3,110.1
LAC,2008-09,19,63,0.232,102.3,111.7
LAC,2007-08,23,59,0.28,101.2,109.1
LAC,2006-07,40,42,0.488,105.1,105.6
LAC,2005-06,47,35,0.573,105.3,103.6
LAC,2004-05,37,45,0.451,105.5,106.4
LAL,2015-16,17,65,0.207,101.6,111.6
LAL,2014-15,21,61,0.256,103.4,110.6
LAL,2013-14,27,55,0.329,104.2,110.6
LAL,2012-13,45,37,0.549,107.8,106.6
LAL,2011-12,41,25,0.621,106,104.4
LAL,2010-11,57,25,0.695,111,104.3
LAL,2009-10,57,25,0.695,108.8,103.7
LAL,2008-09,65,17,0.793,112.8,104.7
LAL,2007-08,57,25,0.695,113,105.5
LAL,2006-07,42,40,0.512,108.6,108.6
LAL,2005-06,45,37,0.549,108.4,105.7
LAL,2004-05,34,48,0.415,108.1,111.4
MEM,2015-16,42,40,0.512,105.4,107.8
MEM,2014-15,55,27,0.671,105.7,102.2
MEM,2013-14,50,32,0.61,106.3,104.6
MEM,2012-13,56,26,0.683,104.9,100.3
MEM,2011-12,41,25,0.621,104,101.8
MEM,2010-11,46,36,0.561,107.6,105.1
MEM,2009-10,40,42,0.488,108.3,109.9
MEM,2008-09,24,58,0.293,103.5,109.5
MEM,2007-08,22,60,0.268,105,111.4
MEM,2006-07,22,60,0.268,106.9,112.3
MEM,2005-06,49,33,0.598,105.9,101.6
MEM,2004-05,45,37,0.549,105.5,102.9
MIA,2015-16,48,34,0.585,106.1,104.4
MIA,2014-15,37,45,0.451,103.9,106.7
MIA,2013-14,54,28,0.659,110.9,105.8
MIA,2012-13,66,16,0.805,112.3,103.7
MIA,2011-12,46,20,0.697,106.6,100.2
MIA,2010-11,58,24,0.707,111.7,103.5
MIA,2009-10,47,35,0.573,106.6,104.1
MIA,2008-09,43,39,0.524,107.8,107.6
MIA,2007-08,15,67,0.183,100.5,110
MIA,2006-07,44,38,0.537,104.3,105.3
MIA,2005-06,52,30,0.634,108.7,104.5
MIA,2004-05,59,23,0.72,110.2,103.1
MIL,2015-16,33,49,0.402,104.3,108.7
MIL,2014-15,41,41,0.5,102.7,102.2
